"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","500","20","29.76","3803.55","7800.42","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-get","get","5000","100","3855.53","40.83","220.36","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-pipeline","pipeline","5000","100","3464.65","52.19","118.91","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-cacheshell","cacheshell","5000","100","1280.41","193.25","247.52","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-slot","slot","5000","100","8496.37","14.87","119.20","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-node","node","500","25","7.29","9518.17","11673.19","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","mixed","all","20000","200","87.36","10611.30","20732.28","20000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis\run-real-all-restart-apps\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","warmup","all","500","20","285.30","292.39","469.57","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","5000","100","6153.38","22.79","146.24","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","5000","100","4893.85","33.33","133.18","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","5000","100","2777.10","59.65","130.22","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","5000","100","9812.17","11.47","128.25","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","500","25","89.12","652.17","793.59","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","20000","200","199.28","2654.08","21899.60","19994","6","OK","artifacts\chaos-compare\run-real-all-restart-apps\failover\stackexchange\run-real-all-restart-apps\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
